target_id,mensagem_id,message
90,9,"Pois a Lei Canônica da igreja desde sempre permitiu casamentos com meninas de 14 anos.\n\nLogo, para muitos cristãos não há pecado em transar com uma criança de 14 anos e isso é infinitamente mais bizarro que dois adultos dando o toba, então não duvido que existam muitas igrejas que realizem casamento de LGBT."
90,10,"Existem leis antigas em todos os países, muitas vezes elas existem porque ninguém mais as segue.  Você tem algum exemplo de jovens de 14 anos que se casaram na igreja?  Se não, você está apenas se agarrando a qualquer coisa para tentar fazer uma afirmação muda."
90,11,"[Entre 2000 e 2015, mais de 200 mil menores se casaram nos Estados Unidos. No Brasil, segundo o Censo 2010, pelo menos 88 mil meninos e meninas com idades de 10 a 14 anos estavam casados. Na faixa etária de 15 a 17 anos, eram 567 mil.](https://www.bbc.com/portuguese/internacional-41825582)\n\nMas você está certo, vamos fiscalizar do que dois adultos do mesmo sexo fazem na cama, é muito mais importante do que o casamento infantil"
90,12,"Esse caso [aqui ](https://g1.globo.com/pr/parana/noticia/2023/05/06/adolescente-de-16-anos-que-casou-com-prefeito-de-araucaria-publica-foto-do-casal-nao-nos-importamos.ghtml)é ótimo exemplo.\n\nUm prefeito do PL do Paraná, velho e rico, namorando a filha de 14 anos de uma funcionária e se casando no aniversário de 16 anos dela.\n\nNão é algo que acontece só nas favelas ou comunidades pobres e isoladas."
90,13,"> Lei Canônica da igreja\n\nQue igreja você está falando? Nunca ouvi falar dessa \""lei\"". Tá tirando do seu cu arrombado."
90,14,"Que boca suja para um cristão kkkkk só porque você não entende sobre esse assunto não significa que estou inventando\n\nA Lei Canônica são as diretrizes criadas pelo Vaticano para os episcopados espalhados pelo mundo.\n\n[Atualmente o Código de Direito Canônico, promulgado em 1983, estabelece em seu cânone 1083, uma idade mínima de 14 anos para mulheres e 16 para homens.](https://pisdc.org.br/matrimonio-papa-propoe-mudanca-no-codigo-de-direito-canonico/)"
90,15,Argumentar sendo cristão sem se contradizer nos primeiros cinco minutos challenge: impossible
90,16,"Como alguém que é cristão mas não católico: a Igreja Católica inventa um monte de coisa que não tá na Bíblia, isso já é polêmica há muito tempo"
90,17,"Isso não é exclusivo dos católicos.\n\nNos EUA por exemplo, [grupos evangélicos fazem pressão](https://www.nbcnews.com/politics/politics-news/end-child-marriage-u-s-you-might-be-surprised-who-n1050471) para que a idade mínima não seja aumentada. E quem vota contra esse aumento são os próprios republicanos.\n\nEm muitos estados nem [idade minima](https://theconversation.com/child-marriage-is-still-legal-in-the-us-88846) para casamento existe"
90,18,Evangélico mais gente boa e educado:
90,19,Evangelico mas nao pentecostal
90,20,"Cara, foda se o pecado. Isso é fantasia, mitologia, devaneio religioso, não faz parte da materialidade humana."
90,21,"Amor tambem e' fantasia, mitologia?"
90,22,Veganismo é religião agora?
90,23,"Sim, é um sistema de valores com dogmas (homem=animal)"
90,24,Minha nova religião: galinha assada
90,25,Galinha assada não tem dogmas.
90,26,"Tem sim, seu ateuzinho do frango cru"
90,27,"A CLARO, VAMOS REZAR PARA O PIMENTÃO ANTES DE COMER E PEDIR PROTEÇÃO PRA CEBOLA"
90,28,Acho que gente como voce reza pro pepino kkkkkk
90,29,"Maluco, vc acredita em papai noel e coelho da páscoa. Vê se cresce que vc não tem mais 4 anos pra acreditar em contos de fadas"
90,30,"Não é um dogma, e sim não querer que maks animais sofram"
90,31,"É dogma sim achar que animais tem os mesmos direitos que uma pessoa. \n\nIsso afeta todo o sistema de valores. Por exemplo: se voce tiver uma arma e um cachorro estiver atacando uma criança, em quem você atira?"
90,32,Na criança
90,33,"Nenhum vegetariano diz que animais tem que ter os mesmo direitos que humanos, apenas que devemos ter mais respeito e consideração pela vida deles, já que eles também são seres vivo com raciocínio (ainda que imensamente menor que o nosso) e com sentimentos"
90,34,"Em minha experiencia, todos. Vai no \\#vegan no twitter. \n\nAgora me diz - respeito com TODOS os animais? Até uma bactéria?"
90,35,"Acho que só no Twitter alguém diz que vegetarianismo é defender que pessoas é animais tenham os mesmo direitos (é comum defender mais direitos para os animais, mas os mesmos direitos que pessoas, a não ser o básico, tipo direito a vida)\n\nBactérias não são animais. E mesmo se fossem, nesse caso, não tem o que fazer, simplesmente viver já afeta milhões de bactérias por segundo"
90,36,Vegetarianismo é uma dieta. Veganismo é uma religião. \n\nEspero que você entenda a diferença.
90,37,"Não é bem assim. Vegetarianismo é não comer carne, veganismo é não comer/consumir nada que venha de animais, tipo ovos, leite, produtos de couro real, etc"
90,38,"Errado. Voce esta' 100% por fora. \n\nVegetarianismo se divide entre nao comer carne vermelha, nao comer qualquer carne e nao comer qualquer outro produto animal. \n\nVeganismo e' um sistema moral. Por exemplo veganos nao consumiriam vegetais que foram colhidos com o auxilio de animais."
90,39,"Não é isso segundo o Google pelo menos\n\nEdit: quero dizer, eles não querem exploração animal também, então a parte de não comer vegetais colhidos por animais também se encaixa em exploração"
90,40,Cara eu tenho uma conta troll de vegano que venho usando faz 2 anos. Ja' tenho doutorado no assunto.
90,41,"ué, bacteria não é animal, ta doidão?"
90,42,Isso que eu queria saber - voce esta' usando a classificacao biologica? \n\nUma esponja do mar que nao e' considerada sentiente?
90,43,Essa criança é Hitler ou uma comum?
90,44,Assuma que e' Hitler
90,45,"Então a porra do sistema jurídico inteiro é uma religião, caralho? Não é dogma achar que humanos têm direitos, pra início de conversa?"
90,46,"Olha... É sim e é uma das mais fervorosas. É o equivalente moderno do cristianismo nas cruzadas. Não respeita opiniões ou fatos contrários, fanática, fazendo barulho e espalhando ódio por toda a Europa...\nYep... Uma religião"
90,47,"Tu ta realmente comparando as cruzadas, um momento de guerra fomentado por fervor religioso com uma bando de vegano sendo chato? Puta que me pariu"
